# CoordinateSystem "Head"
#   begin     end   X (mm)   Y (mm)   Z (mm)   Q(nAm)  Qx(nAm)  Qy(nAm)  Qz(nAm)    g/%
    150.0   150.0   -48.28    76.11    40.28   40.254  -18.289  -33.804  -11.968    4.0
    160.0   160.0   -48.28    76.11    40.28   39.439  -18.146  -33.273  -10.913    3.8
    170.0   170.0   -48.28    76.11    40.28   39.900  -18.665  -33.854   -9.876    3.9
    180.0   180.0   -48.28    76.11    40.28   39.044  -18.379  -33.193   -9.213    3.8
    190.0   190.0   -48.28    76.11    40.28   38.980  -18.520  -33.231   -8.494    3.8
    200.0   200.0   -48.28    76.11    40.28   39.010  -18.455  -33.215   -8.830    3.8
    210.0   210.0   -48.28    76.11    40.28   37.816  -17.534  -31.991   -9.961    3.6
    220.0   220.0   -48.28    76.11    40.28   36.799  -17.099  -31.153   -9.553    3.4
    230.0   230.0   -48.28    76.11    40.28   36.551  -17.320  -31.136   -8.156    3.4
    240.0   240.0   -48.28    76.11    40.28   36.631  -17.349  -31.200   -8.209    3.4
## Name "ALL dipoles" Style "Dipoles"
