# CoordinateSystem "Head"
#   begin     end   X (mm)   Y (mm)   Z (mm)   Q(nAm)  Qx(nAm)  Qy(nAm)  Qz(nAm)    g/%
    150.0   150.0   -48.28    76.11    40.28   40.154  -14.619  -35.169  -12.717    3.8
    160.0   160.0   -48.28    76.11    40.28   39.169  -14.546  -34.459  -11.626    3.6
    170.0   170.0   -48.28    76.11    40.28   39.405  -15.035  -34.860  -10.558    3.6
    180.0   180.0   -48.28    76.11    40.28   38.659  -14.939  -34.281   -9.805    3.5
    190.0   190.0   -48.28    76.11    40.28   38.606  -15.142  -34.322   -9.118    3.6
    200.0   200.0   -48.28    76.11    40.28   38.610  -15.009  -34.274   -9.525    3.5
    210.0   210.0   -48.28    76.11    40.28   37.667  -14.214  -33.250  -10.547    3.4
    220.0   220.0   -48.28    76.11    40.28   36.652  -13.894  -32.383  -10.081    3.2
    230.0   230.0   -48.28    76.11    40.28   36.367  -14.244  -32.324   -8.649    3.2
    240.0   240.0   -48.28    76.11    40.28   36.457  -14.284  -32.406   -8.656    3.2
## Name "ALL dipoles" Style "Dipoles"
