# CoordinateSystem "Head"
#   begin     end   X (mm)   Y (mm)   Z (mm)   Q(nAm)  Qx(nAm)  Qy(nAm)  Qz(nAm)    g/%
     32.0    32.0    63.02    16.69    66.79    8.186    1.829    5.093    6.142   42.7
     33.7    33.7    61.04    16.51    65.53    9.675    1.885    6.426    6.983   46.2
     35.3    35.3    59.71    16.30    61.48   10.999    2.180    7.720    7.526   46.9
     37.0    37.0    59.71    16.30    61.48   11.243    2.543    7.728    7.759   45.9
     38.7    38.7    59.71    16.30    61.48   11.109    3.104    7.167    7.900   43.0
     40.3    40.3    64.49    17.78    61.13    9.009    3.750    4.929    6.543   37.5
     42.0    42.0   -12.57   -17.78    72.27   23.022    7.236    4.300  -21.428   39.6
     43.7    43.7    -8.45   -20.00    75.92   23.151    7.927    3.015  -21.541   43.4
     45.3    45.3    -8.45   -10.00    75.92   26.463    9.439    1.393  -24.684   44.6
     47.0    47.0   -13.85     0.00    71.36   31.321   10.966   -0.175  -29.338   44.2
     48.6    48.6    62.57    11.67    58.70   13.047   10.059   -6.312    5.404   49.4
     50.3    50.3    59.39    10.56    59.76   16.566   11.935  -10.603    4.426   57.1
     52.0    52.0    54.89    10.81    60.22   21.648   14.165  -16.169    2.560   63.6
     53.6    53.6    49.70     9.69    61.05   28.137   16.697  -22.597   -1.510   67.9
     55.3    55.3    53.85     9.63    61.59   28.597   16.450  -23.340   -1.543   71.4
     57.0    57.0    52.03     9.56    61.03   33.462   17.928  -27.904   -4.435   73.6
     58.6    58.6    52.08    11.25    62.58   35.580   18.313  -29.813   -6.459   75.1
     60.3    60.3    50.60    12.12    62.99   39.691   19.381  -33.229   -9.777   76.2
     62.0    62.0    50.57    10.29    61.06   43.682   20.280  -36.762  -12.059   76.9
     63.6    63.6    49.07    12.96    63.17   47.035   21.120  -38.904  -15.897   77.9
     65.3    65.3    48.65    13.10    63.88   50.116   21.795  -40.943  -18.981   78.7
     67.0    67.0    47.61    13.12    64.24   54.512   22.932  -43.808  -22.947   79.6
     68.6    68.6    47.30    13.47    65.44   57.358   23.592  -45.259  -26.172   80.4
     70.3    70.3    45.74    12.43    64.47   64.232   25.501  -49.856  -31.462   81.0
     72.0    72.0    45.39    15.79    65.90   66.597   26.129  -50.957  -33.998   81.3
     73.6    73.6    43.38    16.43    67.18   72.683   27.645  -53.946  -40.105   81.4
     75.3    75.3    43.14    16.20    67.68   76.067   28.137  -55.533  -43.710   80.8
     77.0    77.0    42.89    16.85    67.05   79.790   28.652  -57.929  -46.796   79.4
     78.6    78.6    39.17    16.10    69.28   88.443   30.100  -60.778  -56.764   77.9
     80.3    80.3    37.21    17.38    71.00   92.449   29.984  -61.793  -61.882   75.4
     81.9    81.9    42.69    15.07    69.01   84.867   26.845  -57.673  -56.176   72.8
     83.6    83.6    38.95    17.04    67.63   95.000   27.981  -63.856  -64.533   70.3
     85.3    85.3    38.57    17.10    67.86   95.996   26.465  -63.566  -66.889   67.3
     86.9    86.9    34.12    15.64    68.96  104.739   26.429  -66.396  -76.573   64.3
     88.6    88.6    37.78    17.08    66.65   97.999   23.272  -63.978  -70.491   61.2
     90.3    90.3    28.87    16.40    69.31  111.540   23.565  -69.571  -83.939   58.6
     91.9    91.9   -41.34    14.17    59.40  102.297    0.658  -79.596  -64.256   59.1
     93.6    93.6   -37.81    13.61    58.60  109.167   -0.153  -84.758  -68.800   60.2
     95.3    95.3   -45.97    16.58    59.66   93.945   -1.191  -74.970  -56.602   62.3
     96.9    96.9   -50.00    16.67    60.00   85.479   -1.324  -69.129  -50.259   63.0
     98.6    98.6   -47.11    15.00    58.98   90.879   -1.699  -73.583  -53.307   64.4
    100.3   100.3   -41.98    10.56    56.71  100.061   -2.312  -81.461  -58.059   65.0
    101.9   101.9   -41.98    10.56    56.71   98.164   -1.905  -80.398  -56.291   65.7
    103.6   103.6   -38.45    10.00    55.92  101.925   -1.524  -83.584  -58.311   65.7
    105.3   105.3   -38.45    10.00    55.92   99.337   -0.984  -81.949  -56.136   66.3
    106.9   106.9   -41.98     9.44    56.71   90.941   -0.388  -75.876  -50.129   67.6
    108.6   108.6   -41.98     9.44    56.71   88.376    0.030  -74.044  -48.247   68.5
    110.3   110.3   -41.98     9.44    56.71   85.814    0.284  -72.152  -46.455   69.5
    111.9   111.9   -41.98     9.44    56.71   83.297    0.347  -70.251  -44.755   70.7
    113.6   113.6   -41.98     9.44    56.71   80.849    0.215  -68.390  -43.120   72.0
    115.2   115.2   -41.98     9.44    56.71   78.480   -0.093  -66.607  -41.504   73.2
    116.9   116.9   -46.12     8.61    56.36   70.561   -0.428  -60.787  -35.828   74.2
    118.6   118.6   -40.21    10.08    54.52   77.222   -1.411  -66.434  -39.341   75.1
    120.2   120.2   -43.58    10.09    57.20   69.461   -1.389  -59.971  -35.019   75.5
    121.9   121.9   -35.07     9.65    55.61   77.718   -2.690  -67.301  -38.775   76.1
    123.6   123.6   -32.73     9.45    55.03   77.903   -3.380  -68.258  -37.394   76.5
    125.2   125.2   -29.68    10.93    53.86   78.753   -3.908  -69.837  -36.187   77.0
    126.9   126.9   -25.78    10.65    55.65   78.087   -4.253  -70.067  -34.206   77.6
    128.6   128.6   -22.57     7.78    52.27   79.352   -5.112  -73.270  -30.035   78.4
    130.2   130.2   -22.66     7.76    55.03   74.977   -5.190  -70.516  -24.941   79.2
    131.9   131.9   -12.41     7.96    51.29   78.938   -5.988  -75.683  -21.621   80.0
    133.6   133.6   -10.00    10.00    51.84   76.716   -6.301  -74.635  -16.590   80.9
    135.2   135.2    -4.33     7.96    53.95   73.738   -7.293  -72.651  -10.293   81.5
    136.9   136.9    -1.98     6.11    54.33   71.187   -8.158  -70.599   -4.092   81.9
    138.6   138.6    -5.71     1.42    55.52   67.317   -8.507  -66.747    2.009   82.0
    140.2   140.2     0.31     2.21    53.37   66.763   -9.533  -65.826    5.771   81.6
    141.9   141.9     2.45    -1.12    57.23   61.577   -9.967  -60.264    7.786   80.8
    143.6   143.6     3.18     0.16    58.64   58.308  -10.192  -56.806    8.309   79.5
    145.2   145.2     3.56    -0.86    61.61   53.813  -10.131  -52.264    7.855   77.8
    146.9   146.9     5.29    -1.39    64.22   49.462  -10.029  -47.994    6.518   75.6
## Name "ALL dipoles" Style "Dipoles"
